"Dénomination / Nom";"Début d'activité";"SIREN";"Représentants";"Adresse du siège";"Forme juridique";"Activité";"Département";"Etablissements";"Capital";"Statut"
"STE EXPLOIT EBENIST JEAN NIESS";"26/01/1948";"'325061224";"MARLIESE KRIEGER, JEAN-PIERRE NIESS";"52 RUE PRINCIPALE 67270 WICKERSHEIM-WILSHAUSEN FRANCE ";"Société à responsabilité limitée";"Fabrication menuiserie Ébénisterie prestations de services, conditionnement, emballage, entreposage, expédition de marchandises";"'67";"";"15000.0";"Active"
"BOURGEOIS REZAC MIGNON";"27/01/1948";"'562087288";"LOUIS-MARIE BOURGEOIS, KARINE MIGNON";"36 AV HOCHE 75008 PARIS FRANCE ";"Société d'exercice libéral à responsabilité limitée";"Exercice de la profession d'avocat";"'75";"64 RUE TIQUETONNE 75002 PARIS FRANCE 50 RUE ETIENNE MARCEL 75002 PARIS FRANCE 17 BD MALESHERBES 75008 PARIS FRANCE ";"92000.0";"Active"
"SCI DE NAUZAN";"28/01/1948";"'443756473";"SOPHIE BOURCERET, ALEXANDRE BOUTROT, AYMERIC BOUTROT, JEAN-JACQUES BOUTROT, ASTRID BOUTROT, AUDREY BOUTROT";"9 AV DE ROHAN 17640 VAUX-SUR-MER FRANCE ";"Société civile immobilière";"l'administration, la mise en valeur et l'exploitation directe ou indirecte sous toutes formes d'un immeuble situé commune de VAUX, Canton de ROYAN.";"'17";"";"2440.0";"Active"
"SCI DU 10 RUE DARU";"28/01/1948";"'443861489";"PIERRE PABST";"10 RUE DARU 75008 PARIS FRANCE ";"Société civile immobilière";"L'ACQUISITION D'UN IMMEUBLE SITUE A PARIS 8EME, 10 RUE DARU, L'ADMINISTRATION ET LA GESTION DE CET IMMEUBLE, SELON LE REGIME JURIDIQUE ET FISCAL DE LA SOCIETE CIVILE D'ATTRIBUTION";"'75";"";"3139.99";"Active"
"SAINT MARTIAL";"29/01/1948";"'442866166";"CHRISTIAN PICARD, MONIQUE RAYMOND";"63 BD GAMBETTA 63400 CHAMALIERES FRANCE ";"Société civile";"PROPRIETE, GESTION, ADMINISTRATION ET MISE A DISPOSITION DE BIENS IMMOBILIERS";"'63";"6 PL ALLARD 63130 ROYAT FRANCE ";"10000.0";"Active"
"SCI CHAMP CORBILLY";"29/01/1948";"'423408731";"JEAN MICHEL MAURILIERAS, ANNE SOPHIE MAURILIERAS, MARIE LOUISE MAURILIERAS";"2 VLA DE L'ASTROLABE 75015 PARIS FRANCE ";"Société civile immobilière";"AMENAGEMENT ADMINISTRATION LOCATION D'IMMEUBLES";"'75";"";"952.81";"Active"
"LA PARISIERE EXPANSION";"29/01/1948";"'435782552";"MANON MARREL";"23 AV ANTONIN VALLON 26300 BOURG-DE-PEAGE FRANCE ";"SA à conseil d'administration";"Location d'immeuble - prise de participation financière.";"'26";"";"938476.0";"Active"
"NORD MEDITERRANEE";"30/01/1948";"'058803842";"HENRY LOUIS VAN DE WALLE, YUCHUN ZHAO";"555 RUE SAINT PIERRE 13012 MARSEILLE FRANCE ";"Société par actions simplifiée";"La création, l'acquisition, l'exploitation , la participation le contrôle de tous établissements industriels et commerciaux intéressant le bâtiment les travaux publics et la construction immobilière, négoce et sous Traitances de divers jouets en peluche et autres. Vente de tous objets manufacturés se rapportant aux  loisirs.";"'13";"LE BOURG 71170 SAINT-IGNY-DE-ROCHE FRANCE ";"237200.0";"Active"
"SCI DU DOMAINE DE LA CASCADE";"30/01/1948";"'395333768";"DIDIER MAURICE CHARLES CLERGET, MARIE-ALETH DEREY, MARIE-THERESE DEREY, PIERRE LOUIS MARIE DEREY, MARIE-CLAIRE GERMAINE DEREY";"LD LA CASCADE 69430 SAINT-DIDIER-SUR-BEAUJEU FRANCE ";"Société civile immobilière";"ACQUISITION DE TOUS BIENS IMMEUBLES, LA PROPRIETE L'ADMINISTRATION NOTAMMENT D'UN DOMAINE SIS A SAINT LOUIS SUR BEAUJEU DIT DOMAINE DE LA CASCADE";"'69";"";"1529.06";"Active"
"SCEA DE GRANGEVIEILLE";"31/01/1948";"'342717642";"GIL DELMOTTE";"1447 RTE DE GRANGE VIEILLE 47700 RUFFIAC FRANCE ";"Société civile d'exploitation agricole SCEA";"Acquisition prise à bail exploitation de tous biens agricoles soit directement soit par voie de fermage de métayage de mise à disposition ou selon toutes autres modalités.";"'47";"";"4268.57";"Active"
"SARL HOSTALRICH";"01/02/1948";"'604200550";"JEANNNE HOSTALRICH";"156 RTE NATIONALE 66500 PRADES FRANCE ";"Société à responsabilité limitée";"HOTEL RESTAURANT BRASSERIE CAFE";"'66";"157 RTE NATIONALE 66500 PRADES FRANCE ";"7622.45";"Active"
"ETABLISSEMENTS TROLLIET ET COMPAGNIE";"01/02/1948";"'969508290";"NICOLAS TROLLIET";"30 AV DU MARECHAL DE LATTRE DE TASSIGNY 69330 MEYZIEU FRANCE ";"Société par actions simplifiée";"Exploitation fonds de commerce de colle, badigeons, blancs, mastics";"'69";"";"40000.0";"Active"
"ETABLISSEMENTS DAUSSY FRERES";"01/02/1948";"'045750262";"JACQUES DAUSSY, OLIVIER JACQUES DAUSSY, JEAN DAUSSY";"386 AV DES FUSILLES 59450 SIN-LE-NOBLE FRANCE ";"SA à conseil d'administration";"La gestion d'un portefeuille de valeurs mobilières qu'elle qu'en soit la nature, la gestion d'un ensemble immobilier, l'exercice des fonctions de direction commerciale d'administration générale et de direction financière des sociétés dans le capital desquelles une prise de participation est intervenue directement ou indirectement, la participation de la société par tous moyens sous quelque forme que ce soit, a toutes entreprises et a toutes sociétés créés ou à créer";"'59";"";"344000.0";"Active"
"SOC L AIGLE";"01/02/1948";"'345850267";"";"";"SA à conseil d'administration";"";"";"24 RUE ALEXANDRE LEGRAND 76400 FECAMP FRANCE ";"";"Active"
"GILLAIZEAU TERRE CUITE";"01/02/1948";"'546150061";"GUY Blanchard";"LA BRETAUDIERE 85310 RIVES DE L'YON FRANCE ";"Société par actions simplifiée";"fabrication et vente de tous matériaux, de cons- truction, notamment des tuiles, briques, chaux, ciments.";"'85";"";"3000000.0";"Active"
"CEMME";"01/02/1948";"'475883039";"MARIE CHANTAL DUMORTIER";"57 RUE DE RIVOLI 75001 PARIS FRANCE ";"Société par actions simplifiée";"Exploitation d'un fonds de commerce de transports de tous combustibles, de toutes opérations de courtage et commerciales, se rattachant directement ou indirectement a l'objet de la société. L'acquisition et la cession l'exploitation par bail ou autrement d'immeubles bâtis ou non bâtis dont elle pourrait devenir propriétaire ainsi que l'acquisition, la cession et la gestion de valeurs mobilières droits mobiliers et immobiliers.Le négoce en France et l'étranger de tous produits alimentaires ou non. La commercialisation de tous articles textiles notamment sous les marques ""rhum raisins By victoire Vermeulen"" et ""victoire Vermeulen"". La vente sur marche ou tous autres endroits couverts de tous produits vendus ou fabriques par la société. La production d'énergies renouvelables. La location de matériels";"'75";"19 RUE FAVREUIL 59100 ROUBAIX FRANCE RUE DU CHATEAU 33690 GRIGNOLS FRANCE 85 RUE DE LA VICTOIRE 59780 WILLEMS FRANCE 10 RUE DU CHATEAU 33690 GRIGNOLS FRANCE ";"261616.0";"Active"
"SARL HOTEL DU FG POISSONNIERE";"01/02/1948";"'562111252";"NORBERT Chicheportiche";"77 RUE DU FAUBOURG POISSONNIERE 75009 PARIS FRANCE ";"Société à responsabilité limitée";"Commerce d'hôtel meuble en général et plus particulièrement achat et exploitation d'un hôtel meuble 77 rue du faubourg poissonnière";"'75";"";"15244.9";"Active"
"L.A.M";"01/02/1948";"'775761570";"";"";"SA à conseil d'administration";"";"";"ZONE INDUSTRIELLE 55500 VELAINES FRANCE 137 RUE DE ROSNY 93100 MONTREUIL FRANCE ";"";"Active"
"LUSTIG BLUESOM";"01/02/1948";"'648203206";"PIERRE PHILIPPE MIHEC";"9 B AV DE BOURSIERES 77290 MITRY-MORY FRANCE ";"Société à responsabilité limitée";"Exportation importation commerce en gros et au détail de toutes matières premières et notamment laines et dechets de laine textiles et tous tissus bonneterie et d'une manière générale tous autres articles et marchandises.";"'77";"96 B RUE DUGUAY 95100 ARGENTEUIL FRANCE 10 RUE PASTEUR 95870 BEZONS FRANCE ";"22687.35";"Active"
"AXTER'S SARL";"01/02/1948";"'695820555";"GIL BOURGEOIS, PIERRE Laot, VINCENT Rey";"";"Société par actions simplifiée";"";"";"11 B RUE DE POISSY 75005 PARIS 5 FRANCE 88 RUE D ANTIBES 06150 CANNES FRANCE 34 RUE NATIONALE 37000 TOURS FRANCE 30 RUE JEANNE D ARC 45000 ORLEANS FRANCE 2 RUE PARADIS 13001 MARSEILLE 1 FRANCE CENTRE COMMERCIAL LA TOISON D'OR 21000 DIJON FRANCE LE LAC 06700 SAINT-LAURENT-DU-VAR FRANCE 16 RUE DE LISBONNE 93110 ROSNY-SOUS-BOIS FRANCE CENTRE COMMERCIAL PARLY 2 78150 LE CHESNAY-ROCQUENCOURT FRANCE 1 AV DU PRESIDENT KENNEDY 78340 LES CLAYES-SOUS-BOIS FRANCE CTR COMMERC REGION VELIZY DEUX 78140 VELIZY-VILLACOUBLAY FRANCE 4 RUE DE LA LIBERTE 06000 NICE FRANCE 25 RUE DES HALLEBARDES 67000 STRASBOURG FRANCE 26 RUE DES CLERCS 57000 METZ FRANCE ";"668888.89";"Active"
"FOIE GRAS LUXE";"01/02/1948";"'542057104";"CHRISTEL Malle";"26 RUE MONTMARTRE 75001 PARIS FRANCE ";"Société à responsabilité limitée";"COMMERCE DE GROS DEMI GROS DETAIL DE TOUS ARTICLES DE COMESTIBLES ET CONSERVES ALIMENTAIRES";"'75";"";"15244.9";"Active"
"ENTREPRISE PIERRE SIMON";"01/02/1948";"'572122091";"CHRISTIAN BERRUET, GHISLAINE Henry, THIERRY Pillet, PATRICK PHILIPPE RAMBALDI, JEROME SIMON, GEORGES Simon, PAULE Tourte";"10 RUE DE LABORDE 75008 PARIS FRANCE ";"SA à directoire";"ELECTRICITE GENERALE";"'75";"";"100000.0";"Active"
"PARIS HOTEL CAPITAL";"01/02/1948";"'572183622";"DANIEL LUCIEN HENRI Albar, ANNE-MARIE Pascal";"3 RUE DE LOGELBACH 75017 PARIS FRANCE ";"Société par actions simplifiée";"L'exploitation de tous fonds de commerce d'hôtels, ainsi que toutes affaires ou opérations se rattachant à ce genre de commerce, la création, l'acquisition, l'exploitation, la prise ou mise en gérance, la vente de tous fonds de commerce, succursales, dépôts ou annexes quelconques nécessaires aux affaires sociales ou pouvant en favoriser l'extension.";"'75";"19 RUE DU PONT NEUF 75001 PARIS FRANCE 1 PL URANIE 94340 JOINVILLE-LE-PONT FRANCE 19 RUE TRONCHET 75008 PARIS FRANCE 96 BD HAUSSMANN 75008 PARIS FRANCE ";"20000000.0";"Active"
"J ROCHE ET CIE";"01/02/1948";"'602044596";"SABINE Roche, SOPHIE Roche, ELISABETH Savary";"38 RUE SAINT-SABIN 75011 PARIS FRANCE ";"Société à responsabilité limitée";"L'ACHAT, LA VENTE, L'IMPORTATION, L'EXPORTATION, LA REPARATION, L'ENTRETIEN, LA FABRICATION, DE MEUBLES ET OBJETS MOBILIERS, DE TOUTE NATURE, POUR TOUS USAGES ET EN TOUTE MATIERE, TANT NEUFS QUE D'OCCASION.";"'75";"55 BD BEAUMARCHAIS 75003 PARIS FRANCE ";"100000.0";"Active"
"GARAGE JOLLY SARL";"01/02/1948";"'515780443";"FRANCIS FOURNET";"30 AV DES ETATS-UNIS 52100 SAINT-DIZIER FRANCE ";"Société à responsabilité limitée";"GARAGE, VENTE ET REPARATIONS DE VEHICULES AUTOMOBILES, VENTE ACCESSOIRES, PNEUS, ESSENCE, HUILE, ETC...";"'52";"167 AV D'ALSACE-LORRAINE 52100 SAINT-DIZIER FRANCE ";"15244.9";"Active"
"HAIR DESIGN S A R L";"01/02/1948";"'572177111";"BORIS Aupetit, JEAN-PHILIPPE Lemiale";"28 AV RAYMOND POINCARE 75016 PARIS FRANCE ";"Société à responsabilité limitée";"L'EXPLOITATION ARTISANALE ET COMMERCIALE DE TOUS SALONS DE COIFFURE POUR HOMMES ESTHETIQUE MASCULINE PARFUMERIE ARTICLES DE PARIS ET AUTRES ACTIVITES CONNEXES ET NOTAMMENT L'EXPLOITATION D'UN SALON DE COIFFURE SIS A PARIS 16EME 28 AVENUE RAYMOND POINCARRE - COIFFURE POUR DAMES ET ESTHETIQUE FEMININE -";"'75";"";"7622.45";"Active"
"MAHLE AFTERMARKET FRANCE SAS";"01/02/1948";"'958501009";"ALEXANDER FREYMUELLER, GEORGES MOURAD, ANIK CHAUMARTIN";"6 RUE DE CATALOGNE 69150 DECINES-CHARPIEU FRANCE ";"Société par actions simplifiée";"Vente de pièces détachées pour voiture automobiles ainsi que leur fabrication commission représentation et courtage sur lesdites pièces.";"'69";"6 RUE ALPHONSE DAUDET 69007 LYON FRANCE 90 RUE AUX ARENES 57000 METZ FRANCE 5 RUE MANON CORMIER 33000 BORDEAUX FRANCE AV DE BOISBAUDRAN 13015 MARSEILLE FRANCE 31 AV GEORGES ET VALENTIN LEMOINE 87100 LIMOGES FRANCE RTE DE BESSIERES 31140 LAUNAGUET FRANCE 106 BD HELOISE 95100 ARGENTEUIL FRANCE 201 AV IBRAHIM ALI 13015 MARSEILLE 15EME FRANCE 38 RUE DES GARENNES 57155 MARLY FRANCE 82 RUE DE FENOUILLET 31200 TOULOUSE FRANCE 37 RUE MICHEL CARRE 95100 ARGENTEUIL FRANCE 82 RUE DE FENOUILLET 31200 TOULOUSE FRANCE ALL DU MOULIN PINARD 87100 LIMOGES FRANCE LE CHAPEAU ROUGE 56000 VANNES FRANCE 4 RUE FRANCOIS TANGUY PRIGENT 56890 SAINT-AVE FRANCE 21 AV EDOUARD BELIN 92500 RUEIL-MALMAISON FRANCE ";"890000.0";"Active"
"GALERIES SAINT JACQUES SARL";"01/02/1948";"'859200446";"MARGUERITE DELUC";"98 AV LEON BLUM 63000 CLERMONT-FERRAND FRANCE ";"Société à responsabilité limitée";"BONNETERIE, MERCERIE, LINGERIE, BAZAR, TISSUS, CHAUSSURES";"'63";"";"4573.47";"Active"
"SOCIETE TOURANGELLE HOTELIERE";"01/02/1948";"'584802037";"OLIVIER LOUIS JEAN FRANCOIS DORE";"3 BD LEO LAGRANGE 37510 BALLAN-MIRE FRANCE ";"Société par actions simplifiée";"hôtel, gestion de participations hôtelières et autres";"'37";"12 PL DU GENERAL LECLERC 37000 TOURS FRANCE ";"73297.49";"Active"
"ETABLISSEMENTS PELISSIER ET COMPAGNIE";"01/02/1948";"'075520015";"LOUIS LAURENT PELISSIER";"2 RUE GAMBETTA 73200 ALBERTVILLE FRANCE ";"Société par actions simplifiée";"Prise de participation dans toutes sociétés - Direction, gestion, contrôle et coordination de ses filiales - Prestations de services diverses -";"'73";"";"80000.0";"Active"
"DOMAINE DE LA BERTINIERE";"02/02/1948";"'424604379";"CATHERINE BAILLOUX, JEAN-PIERRE HUBERT JACQUES RENE LENTE, ROMAIN LENTE, QUENTIN LENTE, VALENTIN LENTE";"LA BERTINIERE 37530 SOUVIGNY-DE-TOURAINE FRANCE ";"Société civile immobilière";"propriété administration du domaine de la bertinière et acquisition de tous immeubles agricoles";"'37";"";"7980.0";"Active"
"LOCUS TURENNE";"02/02/1948";"'582089462";"MINKO NENKOV";"87 RUE DE RICHELIEU 75002 PARIS FRANCE ";"Société par actions simplifiée";"";"'75";"115 RUE DE TURENNE 75003 PARIS FRANCE ";"7622.45";"Active"
"SCI DU 88 BIS AVENUE KLEBER";"02/02/1948";"'443953765";"MARIE CLAIRE MILCHIOR";"18 GR AV VILLA DE LA REUNION 75016 PARIS 16 FRANCE ";"Société civile immobilière";"L'ACQUISITION, L'ADMINISTRATION ET LA GESTION PAR LOCATION OU AUTREMENT DE TOUS IMMEUBLES ET BIENS IMMOBILIERS ET NOTAMMENT D'UNIMMEUBLE SIS 88 BIS AVENUE KLEBER ET 1 RUE LEO DELIBES 75016 PARIS";"'75";"";"4573.47";"Active"
"VIGNERONS DE CRUZY MONTOULIERS CEBAZAN";"03/02/1948";"'775995939";"JEAN-MICHEL AUGE, ELODIE PASCALE AZEMA, LARRY BERNA, ANTOINE CABALLERO, ERIC CAZALS, CLAUDE CLAUZON, PHILIPPE COMBES, MICHAEL GAYRAUD, MICHEL GORGUES, MICHELE MARTINEZ, MICHEL MAURY, CHRISTOPHE PEYRAS, PASCAL RAUSA, JEAN-CLAUDE RAYNIER, JEAN-PIERRE VALETTE, DIDIER VERSCHAEVE";"  34310 CRUZY FRANCE ";"Société coopérative agricole";"Vinification des récoltes livrées par les associés coopérateurs et vente de vins. Fourniture de biens et services mise à disposition meubles et immeubles";"'34";"AV DE BEZIERS 34360 CEBAZAN FRANCE ";"";"Active"
"SA ETABLISSEMENT MONS-MALERET";"03/02/1948";"'595650037";"STEPHANE MICHEL NICOLAS BERGER, PHILIPPE DEBESSE, MATHILDE DEBESSE";"CAVES DE LA TOUR DU ROY 33330 SAINT-EMILION FRANCE ";"SA à conseil d'administration";"vins mousseux";"'33";"";"38112.25";"Active"
"SCI DU 6 DE L'AVENUE DES ACACIAS";"04/02/1948";"'443946157";"MARC BRAVO, CASSANDRA BRAVO, STEPHANE DAUPHIN";"6 AV DES ACACIAS 95160 MONTMORENCY FRANCE ";"Société civile immobilière";"L ACQUISITION L ALIENATION  LA GESTION L ADMINISTRATION D UNE MAISON SIS A MONTMORENCY  95160 , 6 AVENUE DES ACACIAS";"'95";"";"1829.39";"Active"
"SCI DU 67 AV DE ST OUEN";"05/02/1948";"'443727524";"ERICK Danos, PASCAL Danos, MARC Danos, GERARD Galibert, ROXANE Kasperski";"67 AV DE SAINT-OUEN 75017 PARIS FRANCE ";"Société civile immobilière";"ACQUISITION ET EXPLOITATION D'UN IMMEUBLE SIS A PARIS 17E, 67 AVENUE DE SAINT OUEN";"'75";"";"106714.31";"Active"
"BATH FOURNITURES";"05/02/1948";"'825820376";"";"LD LA NOZILLIERE 86100 SENILLE-SAINT-SAUVEUR FRANCE ";"Société par actions simplifiée";"Travail du bois et de la menuiserie en général, la fabrication et la vente de tous meubles en bois et plus spécialement les meubles de cuisine.";"'86";"";"4498500.0";"Active"
"EMM";"06/02/1948";"'572069136";"ALAIN Trouble";"14 AV SECRETAN 75019 PARIS FRANCE ";"Société à responsabilité limitée";"Maroquinerie, sellerie, voyage, cadeau et tous articles de cuir et dérivés , Gestion de son patrimoine immobilier et sa mise en valeur, son administration et son exploitation par bail, location ou autrement.";"'75";"";"18293.88";"Active"
"FREGONARA";"07/02/1948";"'582621694";"ERIC FREGONARA, PATRICIA CHENE, OLIVIER FREGONARA, ISABELLE CHENE, NICOLAS LEYMONIE";"415 RUE DU GRAND GIGOGNAN 84000 AVIGNON FRANCE ";"SA à directoire";"Vente achat commerce en gros et détail réparation d'appareils pour charcuté cuterie boucherie alimentation.Articles de pesage.";"'84";"33 RUE BERTRAND 84000 AVIGNON FRANCE ";"150000.0";"Active"
"SCI VOLTAIRE";"09/02/1948";"'435018031";"ANNE DECARIS, MARC ISAMBERT, TILL ISAMBERT, LAURE ISAMBERT, CORINE ISAMBERT";"16 AV DU GENERAL DE GAULLE 94300 VINCENNES FRANCE ";"Société civile immobilière";"Location entrepôt";"'94";"";"9146.94";"Active"
"SOCIETE LOUVET ET CIE";"09/02/1948";"'542063722";"MARINE CIMBAULT - SADDIER";"6 RUE DES BAS MUSATS 89100 MALAY-LE-GRAND FRANCE ";"Société par actions simplifiée";"Négoce en tubes - réétirage de tubes en métaux non féreux";"'89";"6 RUE BERNARD PALISSY 92600 ASNIERES-SUR-SEINE FRANCE 9 RUE LOUIS ARMAND 92600 ASNIERES-SUR-SEINE FRANCE ";"121959.21";"Active"
"CUMA DE PARCIEUX MASSIEUX";"10/02/1948";"'779359843";"GILLES BOULON, LAURENT MARIE BERNARD DEBOUTTIERE, PHILIPPE JOSEPH MEYREL, JEAN-YVES BERNARD MEYREL, JEAN ROLAND RAY";"MAIRIE 01600 MASSIEUX FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"UTILISATION EN COMMUN DE MATERIEL AGRICOLE";"'01";"01600 PARCIEUX FRANCE ";"";"Active"
"CINEXPORT";"10/02/1948";"'592051627";"ANNE-MARIE ALICE ANGELE ROMBOURG";"36 RUE SCHEFFER 75016 PARIS FRANCE ";"Société par actions simplifiée";"La production, la distribution, l'importation, l'exportation, l'achat, la vente et le courtage de films cinématographiques ou de television, de toutes productions, de tous supports audiovisuels et de toutes reproductions de l'image et du son par tous moyens électroniques et toutes activités s'y rapportant";"'75";"78 AV DES CHAMPS ELYSEES 75008 PARIS FRANCE ";"128000.0";"Active"
"TRANSDEV VAUCLUSE";"10/02/1948";"'706220571";"SYLVAIN JOANNON, ANTOINE SEGURET";"173 RUE DU PETIT GIGOGNAN 84000 AVIGNON FRANCE ";"Société par actions simplifiée";"Transports publics et privés de voyageurs et messageries, tous transports publics routiers de personnes et de marchandises. La vente de combustible";"'84";"AV PASTEUR 84500 BOLLENE FRANCE 1 RUE VILLENEUVE 13001 MARSEILLE FRANCE CRS POURTOULES 84100 ORANGE FRANCE CHE ILE D'OISELAY 84700 SORGUES FRANCE 526 RUE SAINTE GENEVIEVE 84000 AVIGNON FRANCE 115 RUE DU MOURELET 84000 AVIGNON FRANCE 314 CHE DES ISCLES 13750 PLAN-D ORGON FRANCE  Lotissement la Bégude 30200 ORSAN FRANCE 1 RUE EVARISTE GALOIS 26700 PIERRELATTE FRANCE AV PIERRE SEMARD 84300 CAVAILLON FRANCE AV DE ROUMANILLE 84400 APT FRANCE AV DE LA LIBERATION 84400 APT FRANCE 690 AV JEAN-HENRI FABRE 84200 CARPENTRAS FRANCE AV GEORGES CLEMENCEAU 84200 CARPENTRAS FRANCE 314 AV DES VERGERS 13750 PLAN-D'ORGON FRANCE 170 CHE DE RAMATUEL 84000 AVIGNON FRANCE ";"621360.0";"Active"
"SCI DU DOMAINE DE MON REPOS";"11/02/1948";"'434816567";"MICHELE FRANCOISE ANNICK BOUTET, PATRICE HENRI GABRIEL DESEILLE";"5 RUE DUGUAY-TROUIN 75006 PARIS FRANCE ";"Société civile immobilière";"L'ACQUISITION DU DOMAINE DE MON REPOS A ST. CYR SUR LOIRE, L'EXPLOITATION DE CET IMMEUBLE";"'75";"MON REPOS 37540 SAINT CYR SUR LOIRE FRANCE ";"3964.0";"Active"
"COOPERATIVE D'UTILISATION DE MATERIEL AGRICOLE CHER SOLOGNE";"11/02/1948";"'775373368";"DIDIER AUGEREAU, ANTHONY THIERRY PIERRE EDOUARD COUTANT, SEBASTIEN STEEGMANS, JOCELYNE LOYER";"MAIRIE DE SAINT JULIEN SUR CHER 41320 SAINT-JULIEN-SUR-CHER FRANCE ";"Société coopérative agricole";"Mise à disposition de machines, de matériels et d'équipements agricoles";"'41";"MAIRIE 41320 LA CHAPELLE-MONTMARTIN FRANCE ";"";"Active"
"SCI LA GAVOTTE";"12/02/1948";"'427895701";"NICOLAS LUC CORRIVAUD, PAULINE SOPHIE CORRIVAUD, XAVIER CLAUDE LUCIEN JOSEPH CORRIVAUD, BEATRICE JEANNE SUZANNE DOINEAU, SUZANNE MARCELLE NICOLE HUGUETTE DOINEAU, DENIS MARCEL GUILLOTEAU, ISABELLE MARIE BEATRIX LOISEAU, FRANCK JEAN MARIE LOISEAU, JEAN-BERNARD DANIEL LOISEAU, STEPHANIE MARIE-JEANNE LOISEAU, PHILIPPE JEAN MARCEL LOISEAU, BEATRICE SUZANNE MARIE LOISEAU";"20 RUE DU PORT 17000 LA ROCHELLE FRANCE ";"Société civile immobilière";"Propriété, administration et exploitation par bail ou autrement des biens immobiliers qui seront apportés, pris à crédit bail ou acquis par elle au cours de la vie social, prise de participation dans toutes opérations immobilières à condition qu'elles soient conformes au caractère civil de la société, notamment par voie de création de sociétés nouvelles, d'apport de souscription ou d'achat de titres ou de droits sociaux";"'17";"16 RUE BERNARD PALISSY 17000 LA ROCHELLE FRANCE ";"152.45";"Active"
"SCI DE LA DEBATTERIE";"13/02/1948";"'388033326";"MARCELLE DELPECH, ANNIE DELPECH, MARIE-CHRISTINE DELPECH";"3 CHE DE LA MONTEE 17100 SAINTES FRANCE ";"Société civile immobilière";"Acquisition, administration et l'exploitation par location ou autrement d'une propriété rurale sis à La Debatterie commune de Chaniers comprenant maison d'habitation, bâtiments d'exploitation et environ 14 hectares de terre ; La mise en valeur de cette propriété notamment par l'édification de toutes constructions plantations et part tous travaux....";"'17";"LA DEBATTERIE 17610 CHANIERS FRANCE 1 DICONCHE 17100 SAINTES FRANCE ";"1225.69";"Active"
"LA SEMELLE CLAIE";"13/02/1948";"'306750316";"DANIEL PIERRE HUGUES VERDEAUX";"43 RUE LUTENBACHER 88540 BUSSANG FRANCE ";"Société à responsabilité limitée";"La fabrication et la vente de semelles isolantes pour intérieur, de chaussures sous toutes les formes et tous aspects et modèles, la vente en gros, demi-gros, détail de tous articles textiles confectionnés ou autres";"'88";"8 RUE D'ALSACE 68200 MULHOUSE FRANCE 5 QUAI LEZAY MARNESIA 67000 STRASBOURG FRANCE 240 RUE DU FOND DU VAL 54230 CHALIGNY FRANCE ";"120000.0";"Active"
"SCI DU 8 RUE DU VIEUX COLOMBIER";"13/02/1948";"'448188367";"";"8 RUE DU VIEUX COLOMBIER 75006 PARIS FRANCE ";"Société civile immobilière";"ACTIVITE(S) PRINCIPALE(S) DE L'ENTREPRISE : DIVISION ET GESTION D'UN IMMEUBLE SIS A PARIS 8 RUE DU VIEUX COLOMBIER";"'75";"";"6555.31";"Active"
"SCI DU 11 RUE PIERRE PICARD";"13/02/1948";"'444336192";"STEPHANE Havranek, RAPHAEL Havranek, LAURENT Stopnicki";"11 RUE PIERRE PICARD 75018 PARIS FRANCE ";"Société civile immobilière";"L'ACHAT, L'ADMINSITRATION ET L'EXPLOITATION PAR BAUX, LOCATIONS OU AUTREMENT D'UN IMMEUBLE SITUE 11 RUE PIERRE PICARD 75018 PARIS - L'ACHAT, LA PRISE A BAIL, AVEC OU SANS PROMESSE DE VENTE, ETLA LOCATION DE TOUS AUTRES IMMEUBLES";"'75";"";"1067.14";"Active"
"CARAY";"14/02/1948";"'552069825";"SERGE CARAY";"12 AV DE L’ILE DE FRANCE 95310 SAINT-OUEN-L'AUMONE FRANCE ";"Société par actions simplifiée";"Mobiliers en tous genres de bureaux, cantinés réfectoires, ateliers, literie générale pour collectivités et chantiers vêtements de protection en tous genres (fabrication rénovation transformation)";"'95";"4 AV DE FRIEDLAND 75008 PARIS FRANCE 141 RUE DU FAUBOURG SAINT-HONORE 75008 PARIS FRANCE 25 CRS DE LA LIBERTE 69003 LYON FRANCE ";"1400000.0";"Active"
"CUMA DE SAINT EUTROPE BORN";"14/02/1948";"'782207237";"SYLVAIN AUZERAL, CHRISTOPHE BARRET, SEBASTIEN DOUMERGUE, THIERRY GARDES, PATRICK REGIS LARTIGUE, CHRISTOPHE NADAL, ERIC PAPILLAUD, MICHEL REIGNE, JOSIANE RIVES";"MAIRIE DE ST EUTROPE DE BORN 47210 SAINT-EUTROPE-DE-BORN FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Utilisation en commun de matériel agricole";"'47";"";"";"Active"
"SARL PEARL MEUBLE";"17/02/1948";"'957808173";"CORINNE ISGOUHIE GUREGHIAN";"9 RUE ALBERTI 06000 NICE FRANCE ";"Société par actions simplifiée";"Hôtel meuble, conseil, formation, immobilier ( location ) acquisition, gestion, administration , exploitation de fonds de commerce , prestation de service";"'06";"";"7622.45";"Active"
